psraid,Vote/lean, Jobs Imp.,Health Care Imp.,Abortion Imp.,Foreign Policy Imp.,Taxes Imp.,Budget deficit Imp.,Jobs,Health Care,Abortion,Foreign Policy,Taxes,Federal Budget Deficit
51878,1,3,3,3,3,3,3,2,2,2,2,2,2
51892,1,3,3,3,2,3,3,2,2,2,2,2,2
51902,1,3,3,2,2,0,3,2,2,2,2,9,2
51910,1,3,3,2,3,3,2,2,2,2,2,2,2
51962,1,3,1,0,3,2,3,2,2,1,2,2,2
51968,1,3,3,2,2,2,3,2,2,2,2,2,2
51986,1,3,3,1,3,3,3,2,2,2,2,2,2
51995,1,3,3,0,0,3,0,2,2,2,2,2,2
52002,1,3,3,2,2,3,2,2,2,1,2,3,2
52015,1,3,3,3,2,3,3,2,2,1,2,2,2
52033,1,3,3,2,3,0,2,2,2,2,2,2,2
52067,1,3,3,3,3,2,1,2,2,2,2,2,2
52071,1,3,3,3,3,2,3,2,2,2,2,2,2
52084,1,3,3,2,3,3,3,2,2,2,2,2,2
52097,1,3,1,0,2,2,3,2,2,2,1,2,1
75006,1,3,3,3,3,3,3,2,2,1,2,2,2
75023,1,3,2,0,3,2,3,9,2,9,1,2,3
75054,1,3,3,3,3,3,3,2,2,2,2,2,2
75084,1,3,3,3,2,2,3,2,2,2,1,2,2
75111,1,3,3,2,1,1,2,2,2,2,2,2,2
75114,1,3,3,2,2,2,2,3,2,2,9,3,3
75121,1,3,2,2,1,2,2,2,2,2,2,2,1
75122,1,3,3,3,3,2,3,2,2,2,2,2,2
75147,1,3,3,2,2,2,2,2,2,2,2,2,2
75152,1,3,3,2,3,3,3,2,2,2,2,2,2
75171,1,3,2,3,2,2,2,2,2,2,2,2,2
75185,1,3,3,1,3,3,3,2,2,9,2,2,2
75228,1,3,3,1,3,3,3,2,2,2,2,2,2
75251,1,3,3,2,2,2,2,2,2,2,2,2,2
75287,1,3,3,0,3,3,3,2,2,1,2,2,2
75323,1,3,3,3,3,3,2,2,2,2,2,2,2
75324,1,3,2,3,1,2,3,1,2,3,2,9,1
75326,1,3,3,3,3,3,3,1,1,2,2,1,2
75348,1,3,3,2,3,3,2,2,2,1,2,2,2
75362,1,3,3,3,3,3,3,2,2,2,2,2,2
75371,1,3,3,3,3,3,3,2,2,2,2,2,2
75381,1,3,3,1,1,3,2,2,2,9,2,2,2
75389,1,3,3,2,2,3,2,2,1,9,2,2,1
75398,1,3,3,3,3,0,3,2,2,2,2,2,2
75406,1,3,3,3,2,3,2,1,2,2,1,2,2
75411,1,3,3,2,3,3,3,2,2,2,2,2,2
75413,1,3,3,3,2,1,2,2,2,2,2,2,2
75466,1,3,3,3,0,2,2,2,2,2,2,9,2
75485,1,3,2,0,2,2,2,1,2,2,2,1,1
75565,1,3,3,3,3,3,3,2,2,2,2,2,2
75615,1,3,3,2,3,2,2,2,2,1,2,2,1
75621,1,3,3,3,2,3,3,2,2,2,2,2,2
75634,1,3,3,3,3,3,3,2,2,2,2,2,2
75680,1,3,3,3,3,3,1,2,2,2,2,2,2
75712,1,3,3,3,3,3,3,2,2,2,2,2,2
75737,1,3,3,3,3,3,3,2,2,2,2,2,2
75827,1,3,3,0,2,3,2,3,2,3,2,1,3
75874,1,3,3,2,2,2,3,2,2,2,2,2,3
75938,1,3,3,2,3,3,2,2,2,9,2,2,2
75951,1,3,3,3,2,3,3,2,2,2,2,2,2
76014,1,3,3,0,3,3,3,2,2,2,2,2,2
76025,1,3,3,3,2,3,2,2,2,2,2,2,2
76072,1,3,3,3,2,3,3,2,2,2,2,2,2
76098,1,3,2,1,3,3,1,2,2,2,2,2,2
76121,1,3,3,3,2,3,3,2,2,2,2,2,2
76132,1,3,3,3,3,2,2,2,2,2,2,2,2
76180,1,3,3,3,2,3,3,2,2,2,2,2,2
76182,1,3,3,2,3,2,3,2,2,2,2,2,2
76190,1,3,2,3,3,3,0,3,3,2,2,2,3
76213,1,3,1,0,1,2,3,2,2,2,2,2,2
76255,1,3,3,3,0,3,3,2,2,2,2,2,2
76283,1,3,3,3,3,3,3,2,2,2,2,2,2
76331,1,3,3,3,2,3,2,2,2,2,2,2,2
76332,1,3,3,3,3,2,2,2,2,2,2,2,2
76356,1,3,1,1,3,3,0,2,2,2,2,2,2
76369,1,3,3,2,3,2,3,1,2,1,3,2,1
76375,1,3,3,2,3,2,3,2,2,2,2,2,1
76386,1,3,3,3,2,3,3,2,2,1,2,2,2
76388,1,3,3,3,3,3,3,2,2,2,2,2,2
76390,1,3,3,0,2,3,2,2,2,2,2,2,2
76421,1,3,3,3,3,3,3,2,2,2,2,2,2
76428,1,3,3,3,3,3,3,2,2,2,2,2,2
76457,1,3,3,3,3,3,3,2,2,2,2,2,2
76469,1,3,3,2,3,3,3,2,2,2,2,2,2
76480,1,3,3,3,2,3,3,2,2,2,2,2,2
76494,1,3,3,0,3,2,3,2,2,2,2,2,2
76569,1,3,3,3,3,3,3,2,2,9,2,2,9
76588,1,3,3,3,2,3,1,2,2,2,2,2,2
76605,1,3,3,3,2,3,3,1,1,9,1,2,1
76612,1,3,3,3,3,2,3,2,2,2,2,2,2
76647,1,3,3,3,3,3,3,9,2,9,9,2,2
76664,1,3,1,1,3,3,3,2,2,2,2,2,2
76666,1,3,3,3,2,3,2,2,2,2,2,2,2
76676,1,3,3,3,3,2,3,2,2,1,2,2,2
76691,1,3,3,3,2,3,2,2,2,2,2,2,2
76706,1,3,3,3,3,3,3,2,2,2,2,1,1
76738,1,3,3,2,2,3,3,2,2,1,2,2,2
76741,1,3,3,3,2,3,3,2,2,2,2,2,2
76754,1,3,3,3,2,3,3,2,2,1,2,2,1
76759,1,3,3,1,3,2,2,2,2,2,2,2,2
76770,1,3,2,2,3,3,2,2,2,2,2,2,2
76829,1,3,3,3,3,3,3,2,2,2,2,2,2
76831,1,3,3,2,3,3,3,2,2,9,2,2,2
76841,1,3,3,0,2,3,1,2,2,2,2,2,2
76868,1,3,3,3,3,2,2,2,2,2,2,2,2
76901,1,3,3,3,3,2,3,2,2,9,2,2,2
76926,1,3,3,3,2,3,3,2,3,2,2,3,3
76961,1,3,3,3,3,3,3,2,2,2,2,2,2
100012,1,3,3,3,3,3,3,2,2,2,2,2,3
100036,1,3,2,2,3,3,3,2,2,2,2,2,2
100060,1,3,3,3,3,3,3,2,2,9,2,2,2
100062,1,3,3,1,3,1,2,2,2,2,2,2,2
100075,1,3,3,3,3,2,3,2,2,2,2,2,2
100076,1,3,3,3,3,3,2,2,2,2,2,2,2
100104,1,3,3,1,3,3,3,2,2,2,2,2,2
100106,1,3,3,2,2,3,3,2,2,2,2,2,2
100122,1,3,3,3,3,3,3,2,2,2,2,2,2
100162,1,3,3,3,3,3,3,2,2,2,2,2,2
100206,1,3,3,3,2,2,3,2,2,2,2,2,2
100207,1,3,3,3,3,3,3,2,2,2,2,2,2
100212,1,3,2,3,3,3,3,2,2,1,2,2,2
100316,1,3,3,3,2,1,3,2,2,2,2,2,1
100369,1,3,3,3,3,3,2,2,2,2,2,2,2
100395,1,3,3,2,3,3,3,2,2,2,2,2,2
100411,1,3,2,0,3,1,2,2,9,2,2,1,9
100434,1,3,3,3,3,3,3,2,2,2,2,2,3
100463,1,3,3,3,3,3,3,2,2,2,2,2,2
100478,1,3,3,3,2,3,3,2,2,2,2,2,2
100483,1,3,3,2,2,3,3,2,2,2,2,9,2
100545,1,3,3,3,3,2,2,2,2,2,2,2,2
100547,1,3,3,2,3,3,2,2,2,2,2,2,1
100551,1,3,3,3,3,3,3,2,2,2,2,2,2
100611,1,3,2,3,3,2,2,9,2,2,2,2,3
100631,1,3,3,3,3,3,3,2,2,2,2,2,2
100670,1,3,2,1,1,3,2,2,2,2,2,2,2
100672,1,3,3,3,2,3,3,2,2,2,2,2,2
100694,1,3,3,3,3,2,1,2,2,2,2,2,2
100717,1,3,3,2,3,3,3,2,2,2,2,2,2
100738,1,3,3,2,2,3,3,2,2,2,2,2,2
100739,1,3,3,1,3,3,2,2,2,2,2,2,2
100779,1,3,2,2,2,2,3,2,2,9,2,1,9
100781,1,3,3,3,2,3,2,2,2,2,2,2,2
100798,1,3,3,3,2,3,2,2,2,2,2,2,2
100840,1,3,3,3,3,3,2,2,2,2,2,2,2
100861,1,3,3,3,2,3,2,2,2,2,2,2,2
101118,1,3,3,2,3,3,2,2,2,9,2,2,2
101130,1,3,3,3,1,3,3,2,2,2,2,2,2
101142,1,3,2,2,2,3,2,2,2,2,2,2,2
101183,1,3,3,2,2,2,2,2,2,2,2,2,2
101199,1,3,3,3,2,3,3,2,2,2,2,2,1
101244,1,3,3,2,2,3,3,2,2,2,2,2,2
101295,1,3,3,0,2,3,3,2,2,9,2,2,2
101308,1,3,3,1,2,3,0,2,2,2,2,2,2
101315,1,3,3,3,2,2,3,2,2,1,2,2,1
101326,1,3,3,2,3,3,3,3,3,3,3,3,3
101365,1,3,3,1,3,3,2,2,2,2,2,2,2
101398,1,3,3,3,3,3,2,2,2,2,2,2,2
101480,1,3,3,2,3,3,3,2,2,2,2,2,2
101488,1,3,3,2,2,3,3,2,2,2,2,2,2
101520,1,3,3,3,3,3,3,2,2,2,2,2,2
101525,1,3,3,3,3,3,3,2,2,2,2,2,2
101553,1,3,0,2,0,3,3,2,2,2,2,2,2
101624,1,3,3,3,2,2,3,3,2,2,2,2,2
101653,1,3,3,1,3,2,3,2,2,2,2,2,2
101662,1,3,3,1,2,3,2,2,2,3,2,2,9
101696,1,3,3,3,2,3,3,2,2,2,2,2,9
101794,1,3,3,2,3,3,3,2,2,2,2,9,9
101831,1,3,3,2,3,3,3,2,2,2,2,2,2
101869,1,3,3,3,3,3,3,2,2,2,2,2,2
101873,1,3,3,0,3,1,2,2,2,2,2,2,2
101907,1,3,3,3,0,2,3,2,2,2,2,2,2
101922,1,3,3,1,3,2,3,2,2,2,2,2,1
101933,1,3,1,1,3,3,1,2,2,2,2,2,2
101957,1,3,3,2,3,3,3,2,2,2,2,2,2
102001,1,3,3,2,2,3,3,2,2,2,2,2,2
102019,1,3,3,3,3,3,3,2,2,2,2,2,2
102020,1,3,3,3,3,1,2,2,2,2,2,2,2
102090,1,3,3,3,1,3,1,2,2,9,2,2,2
102091,1,3,3,0,3,3,3,2,2,9,9,2,9
102178,1,3,3,2,2,3,2,2,2,2,2,2,2
102277,1,3,3,1,2,3,3,2,2,9,9,2,9
102278,1,3,2,2,2,3,3,2,2,2,2,2,2
102340,1,3,2,3,2,2,2,9,3,2,2,9,9
102404,1,3,3,3,3,3,3,2,2,2,2,2,2
102473,1,3,3,0,3,2,3,2,9,2,2,1,3
102481,1,3,1,0,1,1,1,2,2,2,2,2,2
102511,1,3,3,1,3,3,3,2,2,2,2,2,2
102582,1,3,3,0,2,2,1,2,2,2,2,2,2
102604,1,3,3,3,3,3,3,2,2,2,2,2,2
102620,1,3,3,3,3,3,2,3,2,2,2,2,3
102623,1,3,3,2,3,3,3,2,2,2,2,2,2
102724,1,3,3,3,3,3,3,2,2,2,2,2,2
102795,1,3,3,3,2,2,2,2,2,2,2,2,2
102797,1,3,2,0,2,3,2,1,3,2,2,1,3
102817,1,3,3,2,2,2,2,2,2,9,2,2,3
102825,1,3,2,1,2,3,3,1,2,2,2,2,2
102838,1,3,3,3,3,3,1,2,2,2,2,2,2
102904,1,3,3,3,2,2,2,2,2,9,2,2,2
102939,1,3,3,3,3,3,3,2,2,2,2,2,2
103050,1,3,3,1,3,2,1,2,2,2,2,2,2
103131,1,3,3,3,3,3,3,2,2,2,2,2,2
103174,1,3,3,3,3,2,1,2,2,2,2,2,3
103204,1,3,3,0,3,3,0,2,2,2,2,2,2
103210,1,3,3,3,3,3,3,2,2,2,2,2,2
103211,1,3,3,0,1,3,3,2,2,9,2,2,2
103249,1,3,3,3,3,3,3,2,2,2,2,2,2
103259,1,3,3,2,3,2,1,2,2,2,2,2,3
103298,1,3,3,3,3,3,2,2,2,2,2,2,2
103310,1,3,3,3,3,3,2,2,2,2,2,2,2
103312,1,3,3,2,2,2,3,2,2,2,2,2,2
103325,1,3,3,3,3,3,3,2,2,2,2,2,2
103418,1,3,3,3,3,1,3,2,2,2,2,2,2
103430,1,3,3,2,3,3,2,2,1,1,2,2,2
103435,1,3,3,2,2,3,3,2,2,2,2,2,2
103442,1,3,2,0,3,1,2,1,2,2,2,1,1
103483,1,3,3,3,3,2,1,2,2,2,2,2,2
103597,1,3,3,1,3,2,3,2,2,2,2,2,2
103611,1,3,3,2,3,3,3,2,2,2,2,2,2
103617,1,3,3,3,3,3,3,2,2,2,2,2,2
103654,1,3,3,2,3,2,2,2,2,2,2,2,2
103656,1,3,3,3,3,3,0,2,2,2,2,2,3
103657,1,3,3,3,3,3,3,2,2,2,2,2,2
103690,1,3,3,3,2,3,2,1,2,1,1,2,2
103717,1,3,3,3,2,2,2,2,2,9,2,2,2
103781,1,3,3,2,1,3,3,2,2,2,2,3,3
103822,1,3,3,3,3,3,3,2,2,2,2,2,2
103847,1,3,3,2,3,2,2,2,2,2,2,2,2
103872,1,3,3,2,3,3,3,2,2,9,9,9,9
103887,1,3,3,3,3,3,3,2,2,2,2,2,2
103935,1,3,3,3,3,2,3,2,2,2,2,2,2
103970,1,3,3,2,3,3,3,2,2,2,2,2,2
104154,1,3,3,2,3,3,2,2,2,2,2,2,2
104195,1,3,3,3,3,3,3,2,2,2,2,2,2
104278,1,3,3,3,2,3,1,2,2,2,2,2,2
104287,1,3,3,3,2,3,2,2,2,2,2,2,2
200101,1,3,3,1,3,3,3,2,2,2,2,2,2
200116,1,3,3,3,3,3,3,2,2,2,2,2,2
200182,1,3,3,3,3,3,2,2,2,2,2,2,2
200248,1,3,3,0,2,3,3,2,2,2,2,2,2
200299,1,3,3,1,1,3,1,2,2,2,2,2,2
200506,1,3,2,2,1,3,2,2,2,2,2,2,2
200507,1,3,3,3,3,3,3,2,2,2,2,2,2
200595,1,3,2,3,2,2,3,2,2,1,3,2,3
200646,1,3,3,3,3,2,3,2,2,2,2,2,2
200839,1,3,3,1,3,3,3,2,2,2,2,2,2
200853,1,3,3,3,2,3,3,2,2,2,2,2,2
200860,1,3,3,3,3,1,1,2,2,2,2,2,2
200940,1,3,3,3,3,3,3,2,2,2,2,2,2
200945,1,3,1,1,3,3,2,2,2,2,2,1,1
201017,1,3,3,3,2,3,2,2,2,2,2,2,2
201335,1,3,3,3,3,3,3,2,2,2,2,2,2
201396,1,3,3,3,1,3,2,2,9,2,2,2,2
201461,1,3,3,2,2,3,3,2,2,2,2,2,2
201501,1,3,3,3,2,1,3,2,2,2,2,2,2
201613,1,3,3,0,1,3,2,2,2,2,2,2,3
201636,1,3,3,3,3,0,3,2,2,2,2,2,2
201735,1,3,3,3,2,2,3,9,2,2,2,2,2
201761,1,3,3,3,3,2,1,1,2,1,2,2,1
201984,1,3,3,2,2,2,2,2,2,2,2,2,2
201988,1,3,3,3,3,3,3,2,2,2,2,2,2
202381,1,3,2,2,3,3,1,9,2,2,1,1,3
202459,1,3,2,1,2,1,3,2,2,2,2,2,1
202635,1,3,3,3,3,3,2,2,2,2,2,2,2
202844,1,3,3,3,3,2,2,2,2,2,2,2,2
202889,1,3,3,0,3,3,3,1,2,9,2,9,2
202896,1,3,3,2,2,2,3,2,2,2,2,2,2
203193,1,3,3,3,2,2,2,2,2,2,2,2,2
203203,1,3,3,3,3,3,3,2,2,2,2,2,2
203222,1,3,3,1,2,2,3,1,2,3,2,1,1
203236,1,3,3,3,2,3,2,2,2,2,2,2,2
203328,1,3,3,2,3,3,3,2,2,9,2,2,2
203416,1,3,3,2,3,2,3,2,2,2,2,2,2
203446,1,3,3,2,2,2,2,2,2,2,2,2,2
203529,1,3,3,0,2,3,2,2,2,2,2,2,2
203589,1,3,2,3,3,3,3,2,2,2,2,2,2
203639,1,3,3,3,3,3,3,2,2,2,2,2,2
203669,1,3,3,2,2,3,2,2,2,2,2,2,2
203939,1,3,3,3,2,2,3,2,2,2,2,2,2
204249,1,3,3,0,2,3,2,2,2,2,2,2,2
204287,1,3,3,3,3,3,3,2,2,2,2,9,9
204414,1,3,3,2,2,3,3,2,2,2,2,2,2
204491,1,3,3,2,2,3,3,2,2,2,2,2,2
204540,1,3,3,0,2,2,3,2,2,2,2,2,2
204733,1,3,2,3,2,3,3,2,2,2,2,2,2
204752,1,3,3,2,3,3,3,2,2,2,2,2,2
204775,1,3,3,1,2,2,3,1,2,1,2,2,1
204815,1,3,3,3,3,3,3,2,2,2,2,2,2
204917,1,3,3,3,3,3,3,2,2,2,2,2,2
205129,1,3,2,1,2,2,1,2,2,2,2,2,2
205382,1,3,2,0,3,2,2,1,2,2,2,1,2
205497,1,3,3,3,2,2,1,3,3,3,2,2,3
205584,1,3,3,3,3,3,3,2,2,2,2,2,2
205600,1,3,3,2,3,2,2,2,2,2,2,2,2
205612,1,3,3,3,3,3,2,2,2,2,2,2,2
205683,1,3,3,1,3,3,1,2,2,2,2,2,1
205832,1,3,3,2,0,3,3,2,2,2,2,2,2
206191,1,3,3,2,2,2,3,2,2,2,2,2,2
206397,1,3,1,1,2,2,1,2,2,2,2,2,1
206419,1,3,3,3,2,3,3,2,2,2,2,2,2
206447,1,3,3,3,3,3,3,2,2,2,2,2,2
206530,1,3,3,1,3,3,2,2,2,2,2,2,2
206894,1,3,3,0,2,3,0,2,2,2,2,2,2
207233,1,3,3,2,3,1,2,2,2,2,2,2,2
207346,1,3,3,3,3,3,3,2,2,2,2,2,2
207511,1,3,2,2,3,2,2,1,2,1,2,2,1
207527,1,3,3,3,3,3,3,2,2,2,2,2,2
207736,1,3,3,2,3,3,3,2,2,2,2,2,2
207807,1,3,3,3,3,3,3,2,2,2,2,2,2
207825,1,3,3,1,1,2,0,2,2,1,2,2,2
50087,2,3,3,3,3,3,3,1,1,1,1,1,1
50096,2,3,2,3,3,3,3,1,1,1,1,1,1
50106,2,3,3,3,3,3,3,1,1,1,1,1,1
50120,2,3,3,1,2,3,3,1,1,1,1,1,1
50140,2,3,3,3,3,2,3,1,1,1,1,1,1
50160,2,3,3,3,3,3,3,1,1,1,1,1,1
50193,2,3,3,3,3,3,3,1,1,1,1,1,1
50194,2,3,3,2,3,2,3,1,1,1,1,1,1
50211,2,3,3,2,3,2,3,1,1,9,1,1,1
50351,2,3,3,3,3,3,3,1,1,1,1,1,1
50364,2,3,2,1,3,2,3,1,1,2,1,1,1
50389,2,3,3,3,2,2,3,1,1,1,2,1,1
50415,2,3,3,2,2,3,2,3,1,3,1,1,1
50433,2,3,2,3,3,2,3,1,1,1,1,1,1
50465,2,3,3,2,2,3,3,1,9,1,1,1,1
50476,2,3,3,2,3,2,3,1,1,1,1,1,1
50482,2,3,3,3,3,3,3,1,1,1,1,1,1
50506,2,3,3,3,3,3,3,1,1,1,1,1,1
50512,2,3,3,1,3,3,3,1,1,1,1,1,1
50513,2,3,2,0,2,2,2,1,1,1,1,1,1
50514,2,3,3,0,3,3,3,1,1,9,1,1,1
50517,2,3,3,2,3,3,3,1,1,1,1,1,1
50522,2,3,2,2,3,3,3,1,1,1,1,1,1
50525,2,3,3,0,0,3,3,1,1,1,1,1,1
50528,2,3,3,3,2,3,2,1,1,1,1,1,1
50536,2,3,3,2,3,2,3,1,3,3,2,1,1
50577,2,3,2,2,3,3,3,1,1,1,1,1,1
50599,2,3,3,3,3,3,3,1,1,1,1,1,1
50618,2,3,3,0,2,3,2,2,1,2,1,2,2
50641,2,3,2,3,3,2,3,1,1,1,1,1,1
50649,2,3,3,2,3,2,3,1,1,1,1,1,1
50657,2,3,3,2,3,3,3,1,1,9,1,1,1
50667,2,3,3,3,3,3,3,1,1,1,1,1,1
50677,2,3,2,3,3,3,3,1,1,1,2,1,1
50696,2,3,3,0,1,3,3,1,1,9,9,1,1
50701,2,3,3,1,3,3,3,1,1,2,1,1,1
50718,2,3,3,2,3,3,3,1,1,3,1,1,1
50719,2,3,3,3,3,3,3,1,2,1,1,1,1
50723,2,3,3,2,2,3,3,1,1,1,1,1,1
50735,2,3,2,1,2,2,3,1,3,1,1,1,1
50755,2,3,3,0,3,3,3,1,1,1,1,1,1
50766,2,3,3,3,3,3,3,1,1,1,1,1,1
50779,2,3,2,3,3,3,3,1,1,1,1,1,1
50812,2,3,3,3,3,3,3,1,1,1,1,1,1
50813,2,3,2,0,3,2,3,1,1,2,3,1,1
50841,2,3,3,3,3,3,3,1,9,1,1,9,1
50843,2,3,3,3,3,3,3,1,1,1,1,1,1
50868,2,3,2,0,3,3,3,1,1,1,1,1,1
50870,2,3,3,3,3,3,3,1,1,1,1,1,1
50906,2,3,1,0,3,1,3,1,1,9,1,1,1
50910,2,3,2,1,1,3,3,1,1,3,1,1,1
50911,2,3,3,3,2,2,3,1,1,1,1,1,1
50917,2,3,3,2,3,3,2,1,3,3,1,3,1
50945,2,3,1,0,3,3,3,1,3,3,1,1,1
50961,2,3,2,0,3,3,3,1,1,1,1,1,1
50971,2,3,2,0,3,2,3,1,3,3,3,1,1
51048,2,3,3,0,3,3,3,1,1,1,1,1,1
51056,2,3,2,0,3,2,3,1,1,3,1,1,1
51060,2,3,3,3,3,3,3,1,1,1,1,1,1
51067,2,3,2,1,2,2,2,1,1,1,1,1,1
51101,2,3,3,0,3,3,3,1,1,3,1,1,1
